[2026-09-01 09:08:16] Print agent (USB/lokal) dimulai untuk printer #3 -> "HP Ink Tank 310 series"
[2026-09-01 09:16:15] DEBUG raw response (POST api/printers/3/heartbeat, HTTP 200): {"success":true}
[2026-09-01 09:16:15] DEBUG raw response (GET api/printers/3/jobs, HTTP 200): {"success":true,"jobs":[]}
[2026-09-01 09:16:20] DEBUG raw response (POST api/printers/3/heartbeat, HTTP 200): {"success":true}
[2026-09-01 09:16:20] DEBUG raw response (GET api/printers/3/jobs, HTTP 200): {"success":true,"jobs":[]}
[2026-09-01 09:16:25] DEBUG raw response (POST api/printers/3/heartbeat, HTTP 200): {"success":true}
[2026-09-01 09:16:25] DEBUG raw response (GET api/printers/3/jobs, HTTP 200): {"success":true,"jobs":[]}
[2026-09-01 09:16:30] DEBUG raw response (POST api/printers/3/heartbeat, HTTP 200): {"success":true}
[2026-09-01 09:16:30] DEBUG raw response (GET api/printers/3/jobs, HTTP 200): {"success":true,"jobs":[]}
[2026-09-01 09:16:36] DEBUG raw response (POST api/printers/3/heartbeat, HTTP 200): {"success":true}
[2026-09-01 09:16:36] DEBUG raw response (GET api/printers/3/jobs, HTTP 200): {"success":true,"jobs":[]}
[2026-09-01 09:16:41] DEBUG raw response (POST api/printers/3/heartbeat, HTTP 200): {"success":true}
[2026-09-01 09:16:41] DEBUG raw response (GET api/printers/3/jobs, HTTP 200): {"success":true,"jobs":[]}
[2026-09-01 09:16:46] DEBUG raw response (POST api/printers/3/heartbeat, HTTP 200): {"success":true}
[2026-09-01 09:16:46] DEBUG raw response (GET api/printers/3/jobs, HTTP 200): {"success":true,"jobs":[]}
[2026-09-01 09:16:51] DEBUG raw response (POST api/printers/3/heartbeat, HTTP 200): {"success":true}
[2026-09-01 09:16:51] DEBUG raw response (GET api/printers/3/jobs, HTTP 200): {"success":true,"jobs":[]}
[2026-09-01 09:16:56] DEBUG raw response (POST api/printers/3/heartbeat, HTTP 200): {"success":true}
[2026-09-01 09:16:56] DEBUG raw response (GET api/printers/3/jobs, HTTP 200): {"success":true,"jobs":[]}
[2026-09-01 09:17:01] DEBUG raw response (POST api/printers/3/heartbeat, HTTP 200): {"success":true}
[2026-09-01 09:17:01] DEBUG raw response (GET api/printers/3/jobs, HTTP 200): {"success":true,"jobs":[]}
[2026-09-01 09:17:06] DEBUG raw response (POST api/printers/3/heartbeat, HTTP 200): {"success":true}
[2026-09-01 09:17:06] DEBUG raw response (GET api/printers/3/jobs, HTTP 200): {"success":true,"jobs":[]}
[2026-09-01 09:17:11] DEBUG raw response (POST api/printers/3/heartbeat, HTTP 200): {"success":true}
[2026-09-01 09:17:11] DEBUG raw response (GET api/printers/3/jobs, HTTP 200): {"success":true,"jobs":[]}
[2026-09-01 09:17:16] DEBUG raw response (POST api/printers/3/heartbeat, HTTP 200): {"success":true}
[2026-09-01 09:17:16] DEBUG raw response (GET api/printers/3/jobs, HTTP 200): {"success":true,"jobs":[]}
[2026-09-01 09:17:22] DEBUG raw response (POST api/printers/3/heartbeat, HTTP 200): {"success":true}
[2026-09-01 09:17:22] DEBUG raw response (GET api/printers/3/jobs, HTTP 200): {"success":true,"jobs":[]}
[2026-09-01 09:17:27] DEBUG raw response (POST api/printers/3/heartbeat, HTTP 200): {"success":true}
[2026-09-01 09:17:27] DEBUG raw response (GET api/printers/3/jobs, HTTP 200): {"success":true,"jobs":[]}
[2026-09-01 09:17:32] DEBUG raw response (POST api/printers/3/heartbeat, HTTP 200): {"success":true}
[2026-09-01 09:17:32] DEBUG raw response (GET api/printers/3/jobs, HTTP 200): {"success":true,"jobs":[]}
[2026-09-01 09:17:37] DEBUG raw response (POST api/printers/3/heartbeat, HTTP 200): {"success":true}
[2026-09-01 09:17:37] DEBUG raw response (GET api/printers/3/jobs, HTTP 200): {"success":true,"jobs":[]}
[2026-09-01 09:17:42] DEBUG raw response (POST api/printers/3/heartbeat, HTTP 200): {"success":true}
[2026-09-01 09:17:42] DEBUG raw response (GET api/printers/3/jobs, HTTP 200): {"success":true,"jobs":[]}
[2026-09-01 09:17:47] DEBUG raw response (POST api/printers/3/heartbeat, HTTP 200): {"success":true}
[2026-09-01 09:17:47] DEBUG raw response (GET api/printers/3/jobs, HTTP 200): {"success":true,"jobs":[]}
